year,round,race_name_tracked,model,predicted_tracked,predicted_current,actual_p10_tracked,actual_pos_tracked,actual_pos_current,fantasy_pts_tracked,fantasy_pts_current,fantasy_pts_delta,pick_changed,_merge
2025,19,United States Grand Prix,xgb_ranker,hadjar,tsunoda,alonso,16,7,6,12,6,True,both
2025,20,Mexico City Grand Prix,xgb_ranker,lawson,lawson,bortoleto,20,20,0,0,0,False,both
2025,21,São Paulo Grand Prix,xgb_ranker,hamilton,sainz,gasly,18,13,2,12,10,True,both
2025,22,Las Vegas Grand Prix,xgb_ranker,hadjar,hadjar,bearman,6,6,10,10,0,False,both
2025,23,Qatar Grand Prix,xgb_ranker,bearman,albon,tsunoda,19,11,1,18,17,True,both
2025,24,Abu Dhabi Grand Prix,xgb_ranker,lawson,lawson,stroll,18,18,2,2,0,False,both
2025,1,Australian Grand Prix,xgb_reg,sainz,sainz,hamilton,18,18,2,2,0,False,both
2025,2,Chinese Grand Prix,xgb_reg,albon,albon,sainz,7,7,12,12,0,False,both
2025,3,Japanese Grand Prix,xgb_reg,hamilton,hamilton,bearman,7,7,12,12,0,False,both
2025,4,Bahrain Grand Prix,xgb_reg,gasly,tsunoda,bearman,7,9,12,18,6,True,both
2025,5,Saudi Arabian Grand Prix,xgb_reg,piastri,tsunoda,hadjar,1,19,1,1,0,True,both
2025,6,Miami Grand Prix,xgb_reg,tsunoda,ocon,tsunoda,10,12,25,15,-10,True,both
2025,7,Emilia Romagna Grand Prix,xgb_reg,antonelli,albon,tsunoda,19,5,1,8,7,True,both
2025,8,Monaco Grand Prix,xgb_reg,hadjar,alonso,sainz,6,19,10,1,-9,True,both
2025,9,Spanish Grand Prix,xgb_reg,hadjar,leclerc,max_verstappen,7,3,12,4,-8,True,both
2025,10,Canadian Grand Prix,xgb_reg,tsunoda,tsunoda,sainz,12,12,15,15,0,False,both
2025,11,Austrian Grand Prix,xgb_reg,antonelli,piastri,ocon,19,2,1,2,1,True,both
2025,12,British Grand Prix,xgb_reg,sainz,bearman,russell,12,11,15,18,3,True,both
2025,13,Belgian Grand Prix,xgb_reg,ocon,russell,gasly,15,5,8,8,0,True,both
